,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,^VIX,^VIX,^VIX,^VIX,^VIX,^VIX,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2018-01-09,1.241569995880127,1.2476600408554077,1.239799976348877,1.2414599657058716,1.2414599657058716,0.0,9.40999984741211,10.09000015258789,9.369999885559082,10.079999923706055,10.079999923706055,0.0,16351.400390625,16358.2001953125,16309.7998046875,16319.2001953125,16319.2001953125,23691170000.0,2751.14990234375,2759.139892578125,2747.860107421875,2751.2900390625,2751.2900390625,3453480000.0
2018-01-10,1.2470999956130981,1.2493599653244019,1.242799997329712,1.2473200559616089,1.2473200559616089,0.0,10.109999656677246,10.850000381469727,9.819999694824219,9.819999694824219,9.819999694824219,0.0,16314.2001953125,16341.099609375,16229.2998046875,16248.0,16248.0,24395330000.0,2745.550048828125,2750.800048828125,2736.06005859375,2748.22998046875,2748.22998046875,3576350000.0
2018-01-11,1.2532999515533447,1.2586100101470947,1.2523499727249146,1.253059983253479,1.253059983253479,0.0,9.6899995803833,10.020000457763672,9.619999885559082,9.880000114440918,9.880000114440918,0.0,16276.2001953125,16301.400390625,16244.900390625,16286.900390625,16286.900390625,23116120000.0,2752.969970703125,2767.56005859375,2752.780029296875,2767.56005859375,2767.56005859375,3641320000.0
2018-01-12,1.2522000074386597,1.255519986152649,1.249459981918335,1.2518999576568604,1.2518999576568604,0.0,9.739999771118164,10.3100004196167,9.539999961853027,10.15999984741211,10.15999984741211,0.0,16296.099609375,16323.5,16278.099609375,16308.2001953125,16308.2001953125,24289110000.0,2770.179931640625,2787.85009765625,2769.639892578125,2786.239990234375,2786.239990234375,3573970000.0
2018-01-16,1.2428499460220337,1.2451200485229492,1.2398799657821655,1.2424499988555908,1.2424499988555908,0.0,10.420000076293945,12.40999984741211,10.399999618530273,11.65999984741211,11.65999984741211,0.0,16368.599609375,16373.2998046875,16270.900390625,16298.900390625,16298.900390625,24662740000.0,2798.9599609375,2807.5400390625,2768.639892578125,2776.419921875,2776.419921875,4325970000.0
2018-01-17,1.242400050163269,1.2500900030136108,1.2406699657440186,1.2425199747085571,1.2425199747085571,0.0,11.350000381469727,12.8100004196167,11.180000305175781,11.90999984741211,11.90999984741211,0.0,16320.7998046875,16358.2001953125,16277.599609375,16326.7001953125,16326.7001953125,22146320000.0,2784.989990234375,2807.0400390625,2778.3798828125,2802.56005859375,2802.56005859375,3778050000.0
2018-01-18,1.2443699836730957,1.2483899593353271,1.2430499792099,1.243749976158142,1.243749976158142,0.0,12.010000228881836,12.399999618530273,11.619999885559082,12.220000267028809,12.220000267028809,0.0,16339.7998046875,16344.099609375,16270.599609375,16284.5,16284.5,21230810000.0,2802.39990234375,2805.830078125,2792.56005859375,2798.030029296875,2798.030029296875,3681470000.0
2018-01-19,1.2409199476242065,1.2463500499725342,1.23989999294281,1.241129994392395,1.241129994392395,0.0,12.300000190734863,12.329999923706055,11.180000305175781,11.270000457763672,11.270000457763672,0.0,16311.2998046875,16364.2998046875,16288.400390625,16353.5,16353.5,20114360000.0,2802.60009765625,2810.330078125,2798.080078125,2810.300048828125,2810.300048828125,3639430000.0
2018-01-22,1.248669981956482,1.249519944190979,1.2435699701309204,1.248610019683838,1.248610019683838,0.0,11.59000015258789,11.619999885559082,10.84000015258789,11.029999732971191,11.029999732971191,0.0,16348.900390625,16360.5,16303.400390625,16348.0,16348.0,20528520000.0,2809.159912109375,2833.030029296875,2808.1201171875,2832.969970703125,2832.969970703125,3471780000.0
2018-01-23,1.2452600002288818,1.2490700483322144,1.2432600259780884,1.2452000379562378,1.2452000379562378,0.0,10.770000457763672,11.569999694824219,10.760000228881836,11.100000381469727,11.100000381469727,0.0,16342.0,16383.7998046875,16252.400390625,16357.599609375,16357.599609375,23408560000.0,2835.050048828125,2842.239990234375,2830.590087890625,2839.1298828125,2839.1298828125,3519650000.0
